text,word_count,text_length,label
"Well, that didn t take long. In the short time since Americans kinda-sorta elected Donald Trump to be Pussygrabber-in-Chief, Trump has appointed a bona fide white nationalist to a high-level position and perform numerous other actions that months ago were considered extremely unlikely nightmare scenarios   and the latest seems to be that the Muslim registry the media told us Trump was not serious about might actually happen.Under the Trump regime, Muslim immigrants coming to the United States from what Trump and Pals call  terror-prone  countries will soon have to register and check in regularly with the government if Trump adviser and Kansas Secretary of State, Kris Kobach, has his way.Kobach says that the Trump administration aims to quickly waste taxpayer dollars on The Wall and that they are moving forward on a proposal to get things rolling with a registry for immigrants from Muslim countries. Reuters reports:Kansas Secretary of State Kris Kobach, who helped write tough immigration laws in Arizona and elsewhere, said in an interview that Trump s policy advisers had also discussed drafting a proposal for his consideration to reinstate a registry for immigrants from Muslim countries.Kobach, who media reports say is a key member of Trump s transition team, said he had participated in regular conference calls with about a dozen Trump immigration advisers for the past two to three months.Trump s transition team did not respond to requests for confirmation of Kobach s role. The president-elect has not committed to following any specific recommendations from advisory groups.The National Security Entry-Exit Registration System, designed in part by Kovach under the Bush administration, was an ineffective program that singled out Muslims and did not manage to convict a single person of anything related to terrorism.During his campaign, Trump suggested not only monitoring mosques but added that there would need to be a  lot of systems  that extend  beyond databases  to keep an eye on Muslims.Kobach says that he and other advisers are also looking into how to get the construction of the border wall moving without approval from Congress. He says it can happen by reappropriating existing funds, but acknowledges  that future fiscal years will require additional appropriations. Trump has shown us his character in whom he chooses to be part of his administration and through his actions since he has been elected. Some say to give him a chance, to see how he governs, but the answer is  no.  President-elect Pussygrabber has repeatedly demonstrated that he is completely lacking in morals, compassion, decency, and hand size.It is up to each of us to oppose Donald Trump at every turn, to protect what we can of the progress America has made over the last fifty years, to defend our nation in every way we can against this internal enemy. Recently, John Oliver reminded us not to allow what we are about to live through to become normalized. Keep reminding yourself this is not normal,  Oliver said.  A Klan-backed misogynist internet troll is going to be delivering the next State of the Union address, and that is not normal. Truer words have never been spoken.Featured image via Getty Images/Matthew Busch",521,3238,0
"(Reuters) - Republican lawmaker Devin Nunes’ investigation into whether Obama administration officials used classified intelligence reports to discredit Donald Trump’s 2016 campaign team could backfire on the congressman - and the president, sources familiar with the reports said. The reports contain no evidence that any aides to former Democratic President Barack Obama acted improperly, the sources said, but they do indicate some Trump associates may have violated an obscure 1799 law, the Logan Act, which prohibits unauthorized U.S. citizens from negotiating with a foreign government that has a dispute with the United States. The spying reports also are relevant to the investigation by special counsel Robert Mueller into conclusions by U.S. intelligence agencies that Russia worked to tilt last November’s election in Republican Trump’s favor, said the sources, who spoke on the condition of anonymity. Mueller’s office declined to comment. Russia, under U.S. sanctions for rights abuses and its 2014 annexation of Crimea, has repeatedly denied allegations of election meddling. Trump has denied any possible collusion between his campaign and Moscow, an issue that has loomed over the new presidency. Nunes, chairman of the U.S. House Intelligence Committee and a Trump ally, met secretly earlier this year with a White House intelligence aide and then accused Obama officials of having requested the names of U.S. citizens seen in intercepts of communications with Russians and other foreigners. The White House did not respond to requests for comment. The names would have been routinely censored from intelligence agency intercepts, but Nunes charged that Obama’s aides had leaked the information to try to undermine Trump while he was running for president. A spokesman for then-United Nations ambassador Samantha Power, whom Nunes and other Republicans accused of digging for political dirt, said she read intelligence reports only as part of her normal duties. A spokesman for former Obama national security adviser Susan Rice, whom Republicans also accused of misusing intelligence, did not respond to requests for comment. Mueller is investigating meetings and conversations between Trump associates and Russian and other foreign officials and businessmen. They include Trump’s adviser and son-in-law Jared Kushner; the president’s eldest son Donald Trump, Jr.; former Trump campaign chairman Paul Manafort and former national security adviser Michael Flynn.  “An obvious question is how all these meetings and conversations were set up,” said one of the sources. “Who set them up? What was their purpose? What were the agendas? Who approved them? Who was briefed on them afterward? Signals intelligence might shed some light on that.” Representatives for the Trump associates did not respond to requests for comment. Democratic lawmakers have said that Nunes and others have made the assertions about the leaks to distract attention from two congressional investigations and Mueller’s probe into the Russian matter. The National Security Agency masks the names of U.S. citizens in intercepts, but officials with the necessary security clearances can request them for intelligence purposes.         “Unmasking Americans is extremely sensitive, and unmasking political opponents is really problematic,” said a congressional official, also speaking on the condition of anonymity. If Obama officials asked for the names or failed to justify any requests, that warranted investigation, the official said.   Asked for hard evidence that Power or other aides misused intelligence for political purposes or leaked such information to the media, the official declined to comment. ",549,3692,1
"WASHINGTON (Reuters) - President Donald Trump said on Friday that churches in Texas should be able to receive money from the Federal Emergency Management Agency for helping victims of Hurricane Harvey. Trump tweeted: “Churches in Texas should be entitled to reimbursement from FEMA Relief Funds for helping victims of Hurricane Harvey (just like others)”.  Trump’s tweet followed a lawsuit filed by three Texas Churches seeking federal aid to repair severe damage to their structures by Harvey. It was not clear whether the churches had provided aid to victims. In the complaint filed on Monday in federal court in Houston, the Texas churches said they would like to apply for aid but it would be “futile” because FEMA’s public assistance program “categorically” excluded their claims, violating their constitutional right to freely exercise their religion. They said FEMA’s ban on providing relief where at least half a building’s space is used for religious purposes, a policy also enforced after Hurricane Katrina in 2005 and Hurricane Sandy in 2012, contradicted a recent U.S. Supreme Court decision making it easier for religious groups to get public aid. Becket, a nonprofit that advocates for religious freedoms and represents the churches, said the same principle should apply to federal FEMA relief for Harvey victims. “The principle is that governments can’t discriminate on the basis of religious status, and that is unapologetically what FEMA is doing here,” Daniel Blomberg, a lawyer for Becket, said in a phone interview. A FEMA spokeswoman said in an email it would be inappropriate to discuss pending litigation. The Texas churches that sued are the Rockport First Assembly of God in Rockport, which lost its roof and steeple and suffered other structural damage, and the Harvest Family Church in Cypress and Hi-Way Tabernacle in Cleveland, which were flooded. The case is Harvest Family Church et al v Federal Emergency Management Agency et al, U.S, District Court, Southern District of Texas, No. 17-02662. ",320,2025,1
"Print journalism and longstanding papers have been struggling since the advent of the internet and increased competition faced by blogs and op-ed sites. That, combined with poor understanding of marketing on new platforms, has combined to really cause a struggle in the journalism industry.So, on a certain level, journalists can thank Trump. Despite unleashing a war on freedom of the press never before seen in our nation s history, he s been a boon to business, with massive public backlash against Trump and his fake news army resulting in a thirst for facts and information.Take the New York Times, for example. In the first quarter of 2017, the NYT signed on more new subscribers than any other period in history. Stock is up 50 percent. Digital advertising revenue went up nearly 20 percent. So when Donald Trump says  when is the failing NYT going to go out of business,  as he did today, the answer is  not soon.  They ve been around for 160 years and don t look to be going anyplace anytime soon.Here s the specific tweet in question:How much longer will the failing nytimes, with its big losses and massive unfunded liability (and non-existent sources), remain in business?  Donald J. Trump (@realDonaldTrump) August 7, 2017And here s the reply by the New York Times, completely demolishing whatever little remnants of dignity Trump has left at this point:That is incorrect. NYT s business is thriving. Most ever paid subs: 3.3 million; and growing profit, income and revenues. (1/2) pic.twitter.com/NE5fqu8RVW  NYTCo Communications (@NYTimesComm) August 7, 2017They went on to establish the veracity, at length, of a particular article Trump took issue with. Unfortunately for the NYT, Trump won t (or can t) read anything over 140 characters, so it seems somewhat unlikely they will have broken through.Read more:Featured image via Zach Gibson   Pool/Getty Images",305,1876,0
"WASHINGTON (Reuters) - President Donald Trump was being briefed on Friday by House Speaker Paul Ryan about the status of voting on the Republican bill to replace Obamacare, the White House said amid signs the measure might not have enough support to pass. “The president ... had Speaker Ryan come up here and visit with him to update him on the bill,” White House spokesman Sean Spicer told a briefing. “They are continuing to discuss the way forward on this. The speaker is updating him on these efforts.” Spicer said the vote was scheduled for 3:30 p.m. EDT/1930 GMT and he downplayed the prospects that a loss might undermine Trump’s effort to push tax reform through the U.S. Congress. ",119,690,1
"WASHINGTON (Reuters) - Individuals who steal classified information from the U.S. government are “enemies to our state” and must be punished forcefully, the White House’s homeland security adviser said on Wednesday. Tom Bossert, in remarks that were among the first he has made publicly since becoming the White House homeland security adviser, characterized cyber security in the U.S. government and around the world as being in general disarray. “We need to find the people who do it and hold them accountable and be absolutely unwavering in doing so,” Bossert said in remarks at the Center for Strategic and International Studies think tank in Washington, D.C.  “People who have taken things that they should not have taken, like Snowden and others, are absolute enemies to our state. Period,” Bossert said. “They need to be caught, punished, and treated as such.” He was referring to Edward Snowden, the former U.S. National Security Agency contractor whose leak of classified information in 2014 triggered an international furor over the reach of U.S. spy operations. Bossert, whose role includes special emphasis on cyber security, made his remarks a week after WikiLeaks published documents related to secret CIA hacking tools.  Investigators believe the documents were likely provided by a contractor or CIA employee, two U.S. officials told Reuters last week. It would be the third high-profile public case in recent years in which an insider pilfered a large tranche of secrets from a U.S. intelligence agency. The recent CIA leak shows that intensified U.S. government efforts to prevent leaks by “insider threats” have largely failed, according to cyber security professionals and intelligence officials. In January former President Barack Obama shortened the prison sentence of Chelsea Manning, the former U.S. military intelligence analyst who leaked hundreds of thousands of State Department cables to WikiLeaks in 2010 Manning, now due for release in May, had served seven of her 35-year sentence, and Obama defended his leniency by saying justice had been served. But he drew criticism from Republicans who said the move could embolden other potential leakers. Bossert said agencies and companies have a responsibility to institute controls and continuous employee screening and monitoring systems to guard against insider threats.  As he characterized cyber security as being in general disarray, Bossert said the Obama administration did not do enough to forcefully combat and deter growing criminal and nation-state threats. “I feel like I have re-awoken from a long eight-year nap and I found a world that is on fire,” Bossert said. President Donald Trump’s annual budget proposal, expected to be released on Thursday, would reflect the White House’s plan to prioritize cyber security across the federal government, Bossert said. He also confirmed media reports that Rob Joyce, the National Security Agency’s top hacker, is joining the White House as cyber security coordinator. ",464,3000,1
 ,0,1,0
"Senator Rand Paul appeared on Bill Hemmer s Fox News show to discuss the importance of fighting the FISA law, to prevent the US government from unlawful spying and collection of information on Americans.With tax reform a done-deal and the wind at his back, Senator Rand Paul came out swinging against the Obama administration.Paul said he wants answers as to why Mueller s investigation into alleged Trump-Russia collusion appears so obviously partisan. You have the Department of Justice, where you have a high-ranking official whose wife works for the group doing opposition research on Trump being paid for by the Democrat National Committee, that sounds like a lot of high-ranking people colluding to try to prevent Donald Trump from being president,  Paul told Fox News  Bill Hemmer from the Hill on Thursday.I'm never a fan of shutting down government so that's not my intention. I am a fan of defending the bill of rights, though. pic.twitter.com/qJ9Sc298Ep  Senator Rand Paul (@RandPaul) December 21, 2017Paul was referring to last week s bombshell that top DOJ official Bruce Ohr not only met with key players in the creation of the infamous  Trump dossier,  but his wife Nellie Ohr worked for Fusion GPS, the opposition research firm that commissioned the unproven document.  BPRTime to investigate high ranking Obama government officials who might have colluded to prevent the election of @realDonaldTrump! This could be WORSE than Watergate!Time to investigate high ranking Obama government officials who might have colluded to prevent the election of @realDonaldTrump! This could be WORSE than Watergate!  Senator Rand Paul (@RandPaul) December 21, 2017",262,1666,0
"WASHINGTON (Reuters) - The U.S. Supreme Court on Wednesday appeared poised to throw out the corruption convictions of former Virginia Governor Robert McDonnell, a move federal prosecutors fear could undermine their ability to bring crooked politicians to justice. During the one-hour argument, several of the eight justices signaled that McDonnell’s acceptance of $177,000 in luxury gifts and sweetheart loans from a businessman seeking to promote a dietary supplement did not constitute a criminal act. They voiced concern that the broad interpretation of U.S. anti-corruption law used by federal prosecutors could criminalize numerous commonplace actions by politicians. U.S. Justice Department lawyer Michael Dreeben told the justices overturning McDonnell’s conviction and giving politicians more leeway to accept gifts in return for certain actions would be a “recipe for corruption.” McDonnell’s lawyer Noel Francisco argued the former governor’s conduct was no different than what politicians across the United States do on a daily basis when responding to requests from donors and constituents. McDonnell, 61, is a former Republican Party rising star who served as governor from 2010 to 2014 and once was considered as a possible vice presidential candidate. His wife, Maureen, was convicted in a separate trial. Prosecutors during his trial described the luxurious lifestyle the McDonnells lived thanks to Virginia businessman Jonnie Williams including vacations, designer clothing and shoes, a $6,500 Rolex watch, $15,000 for their daughter’s wedding, golf outings and more. Liberal and conservative justices alike raised concerns about the Justice Department’s interpretation of U.S. bribery law. Stephen Breyer described as “dangerous” the “enormous power over elected officials” that federal prosecutors would hold if the court endorsed the Justice Department’s position. A ruling is due by the end of June. A decision in McDonnell’s favor could limit the type of cases federal prosecutors could bring against politicians in the future by requiring that any action taken in return for a bribe must be more than, for example, simply arranging a meeting between a benefactor and a government official. The impact of the decision would depend on how far the justices are willing to go in narrowing the scope of the corruption laws. The justices potentially could overturn the conviction but issue a narrow ruling focusing on the specifics of McDonnell’s case, including the judge’s instructions to the jury on how to weigh the evidence, rather than finding that the corruption law used in the case was flawed. Even if his conviction is overturned, McDonnell could face a retrial. Chief Justice John Roberts appeared to favor a broad ruling saying the statutes under which McDonnell was convicted could be unconstitutionally vague because they can cover many different activities. Roberts cited the example of a businessman seeking state tax breaks in return for opening a new plant. Roberts wondered if it would be considered a corrupt act if the state’s governor accepted an invitation from the businessman to go on a fishing trip to discuss the proposal. Breyer and Justice Anthony Kennedy said politicians need guidance so they know what conduct potentially could be prosecuted. If the law is interpreted broadly, “political figures will not know what they are supposed to do and what they are not supposed to do,” Breyer said. After a trial that laid bare rifts in his marriage, McDonnell was convicted of 11 corruption counts including conspiracy, bribery and extortion for taking the gifts and loans in exchange for promoting a dietary supplement called Anatabloc made by Williams’ company Star Scientific. Williams wanted McDonnell to press researchers at Virginia state universities to conduct studies that could help win U.S. regulatory approval for Anatabloc.  A judge sentenced McDonnell to two years behind bars, but the Supreme Court last year said he would not have to report to prison while appeals were ongoing. McDonnell’s wife was found guilty of nine criminal counts and received a one-year sentence. She remains out of prison while pursuing her own separate appeal. Sonia Sotomayor, one of the only justices to indicate support for the prosecution, suggested it was reasonable to infer that McDonnell’s intent was to help Williams when he accepted money and gifts. Some justices appeared troubled by the signal a ruling in his favor would send. Ruth Bader Ginsburg appeared alarmed by the idea of officials being able to accept payments to arrange meetings without facing potential prosecution. Officials could simply say “I’ll do it for you if you pay me a thousand dollars,” she said. McDonnell, one of few high-level politicians to have his appeal of a criminal conviction heard by the Supreme Court, sat with his wife in the courtroom for the last oral arguments of the justices’ current term. McDonnell’s lawyers contend the former governor’s conduct did not constitute “official action” in exchange for a thing of value, as required for conviction under federal bribery law. ",797,5111,1
"You d think that in the year 2016, companies would no longer be bullied by those who advocate for fewer rights for women, but to the contrary, Lands  End has just proved that simply not to be the case.The company recently featured legendary women s rights advocate and feminist Gloria Steinem in their catalog and on their website for their  Legend Series  featuring individuals who have made a difference in both their respective industries and the world at large.  However, many anti-choice advocates were not amused by Lands  End promoting someone who pushes for women to have control over their own bodies. They were, quite literally, bullied into ending their relationship with Steinem.One pro-lifer commented on the Lands  End Facebook page: Those of us who love family, love children, are completely puzzled why you would promote a very vocal pro abortion celebrity. Is this who you are LandsEnd? Are you anti-child? You want to kill off possible future customers? Is this your message to those of us who give their very lives to feed, love and clothe our children, some of these children who also live with special needs? Clearly not, and whoa, what a devious guilt trip, but upon their threat of boycott and shipping everything Lands  End back, the company took no chances and succumbed to the harassment and gave in to the bullying. Apparently, a Catholic school also threatened to end their relationship with the company as their uniform supplier as well.Here s Lands  End official statement: We understand that some of our customers were offended by the inclusion of an interview in a recent catalog with Gloria Steinem on her quest for women s equality. We thought it was a good idea and we heard from our customers that, for different reasons, it wasn t. For that, we sincerely apologize. Our goal was to feature individuals with different interests and backgrounds that have made a difference for our new Legends Series, not to take any political or religious stance. They literally just said, We thought it was a good idea  to feature someone who stood for women s equality, but it wasn t, and we apologize.Way to stand with women, Lands  End. Sure, you may have lost a few religious zealots, but you could have gained a hell of a lot more back in those who admire your courage to uphold a woman s right over her own body and be equal amongst her peers in society.Here s the thing:  Lands  End is still going to lose customers, but this time from people who stand with women s rights, which is the majority of America.Featured image via Flickr",442,2559,0
